Punto;Este;Norte;LAEQ;;;
1;2.784.285.923;8661416842,00;660.574.055;2.784.285.922;8.661.416.841;660.574.054
2;2.784.438.365;8661416842,00;655.829.979;2.784.438.364;8.661.416.841;655.829.978
3;2.786.130.076;8661416842,00;7.079.693.793;2.786.130.075;8.661.416.841;7.079.693.792
4;2.785.679.852;8661544512,00;6.896.264.177;2.785.679.851;8.661.544.511;6.896.264.176
5;2.784.968.059;8661436099,00;613.140.731;2.784.968.058;8.661.436.098;613.140.730
6;2.788.278.333;8661459156,00;7.066.009.138;2.788.278.332;8.661.459.155;7.066.009.137
7;2.783.509.809;8662374608,00;7.574.587.907;2.783.509.808;8.662.374.607;7.574.587.906
8;2.783.740.622;8661852707,00;7.166.435.626;2.783.740.621;8.661.852.706;7.166.435.625
9;2.781.576.358;8661404436,00;7.190.153.112;2.781.576.357;8.661.404.435;7.190.153.111
10;2.782.262.881;8661175659,00;6.279.031.119;2.782.262.880;8.661.175.658;6.279.031.118
11;2.782.997.709;8661416842,00;7.103.567.909;2.782.997.708;8.661.416.841;7.103.567.908
12;2.783.988.682;8660745301,00;6.630.196.497;2.783.988.681;8.660.745.300;6.630.196.496
13;2.785.621.475;8660761542,00;6.715.463.508;2.785.621.474;8.660.761.541;6.715.463.507
14;2.787.562.254;8661206088,00;6.670.698.927;2.787.562.253;8.661.206.087;6.670.698.926
15;2.787.377.172;8662021155,00;7.285.566.865;2.787.377.171;8.662.021.154;7.285.566.864
16;2.786.785.787;8661870253,00;7.724.602.277;2.786.785.786;8.661.870.252;7.724.602.276
17;2.782.582.575;8662008434,00;7.005.232.053;2.782.582.574;8.662.008.433;7.005.232.052
18;2.782.139.918;8661416842,00;6.793.436.322;2.782.139.917;8.661.416.841;6.793.436.321
19;278.147.976;8661416842,00;6.820.750.564;278.147.975;8.661.416.841;6.820.750.563
20;2.789.294.314;8662555436,00;6.472.642.477;2.789.294.313;8.662.555.435;6.472.642.476
21;2.789.664.336;8662530089,00;6.236.730.814;2.789.664.335;8.662.530.088;6.236.730.813
22;279.045.958;8662533142,00;7.442.360.199;279.045.957;8.662.533.141;7.442.360.198
23;2.790.073.141;8661416842,00;7.114.427.055;2.790.073.140;8.661.416.841;7.114.427.054
24;2.792.095.977;8662382452,00;7.094.216.572;2.792.095.976;8.662.382.451;7.094.216.571
25;279155.15;8662177198,00;6.844.787.647;279155.15;8.662.177.197;6.844.787.646
26;2.793.248.817;8662626553,00;6.362.880.103;2.793.248.816;8.662.626.552;6.362.880.102
27;2.793.530.923;8662574286,00;713.575.049;2.793.530.922;8.662.574.285;713.575.048
28;2.791.224.615;8662187101,00;6.932.650.918;2.791.224.614;8.662.187.100;6.932.650.917
29;2.789.191.029;8661416842,00;7.318.922.512;2.789.191.028;8.661.416.841;7.318.922.511
30;2.789.609.822;8661922854,00;7.345.577.357;2.789.609.821;8.661.922.853;7.345.577.356
31;2.791.477.492;8661952215,00;7.396.053.066;2.791.477.491;8.661.952.214;7.396.053.065
32;2.796.507.523;8662353896,00;6.804.051.135;2.796.507.522;8.662.353.895;6.804.051.134
33;2.797.346.546;8662333966,00;6.944.622.209;2.797.346.545;8.662.333.965;6.944.622.208
34;279.428.932;8661661487,00;7.171.798.453;279.428.931;8.661.661.486;7.171.798.452
35;2.793.597.437;8661817642,00;6.851.380.861;2.793.597.436;8.661.817.641;6.851.380.860
36;2.792.687.642;8661255789,00;7.324.412.446;2.792.687.641;8.661.255.788;7.324.412.445
37;2.789.487.234;8661187971,00;7.286.283.131;2.789.487.233;8.661.187.970;7.286.283.130
38;277.190.181;8662387779,00;7.174.598.436;277.190.180;8.662.387.778;7.174.598.435
39;2.773.427.241;8662219092,00;751.414.981;2.773.427.240;8.662.219.091;751.414.980
40;2.780.816.329;8661798852,00;6.534.310.243;2.780.816.328;8.661.798.851;6.534.310.242
41;2.778.502.594;8661561884,00;7.156.360.754;2.778.502.593;8.661.561.883;7.156.360.753
42;2.773.987.076;8661637238,00;7.111.243.659;2.773.987.075;8.661.637.237;7.111.243.658
43;2.778.589.194;8661882762,00;6.357.779.549;2.778.589.193;8.661.882.761;6.357.779.548
44;2.776.770.109;8662123527,00;6.275.815.649;2.776.770.108;8.662.123.526;6.275.815.648
45;2.775.978.061;8662044013,00;7.136.109.983;2.775.978.060;8.662.044.012;7.136.109.982
46;2.774.474.938;8661967872,00;6.599.232.956;2.774.474.937;8.661.967.871;6.599.232.955
47;2.771.985.837;8661916698,00;6.500.184.788;2.771.985.836;8.661.916.697;6.500.184.787
48;2.769.646.333;8661926759,00;6.311.284.027;2.769.646.332;8.661.926.758;6.311.284.026
49;2.768.378.455;8661967297,00;6.701.683.312;2.768.378.454;8.661.967.296;6.701.683.311
50;2.767.433.427;8661453507,00;6.983.173.305;2.767.433.426;8.661.453.506;6.983.173.304
51;2.769.464.122;8661226955,00;7.454.795.961;2.769.464.121;8.661.226.954;7.454.795.960
52;2.776.098.429;8661034959,00;6.537.187.905;2.776.098.428;8.661.034.958;6.537.187.904
53;2.776.568.299;8661416842,00;6.767.623.502;2.776.568.298;8.661.416.841;6.767.623.501
54;2.776.728.291;8661262784,00;6.605.469.555;2.776.728.290;8.661.262.783;6.605.469.554
